Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. ",,,,"All Serving Sizes are 100 Grams. See the ""Read Me"" tab for more information. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
173948,Blueberries Canned Heavy Syrup Solids And Liquids,Fruits,88,0.33,0.65,22.06,20.46,1.6,0,0.027,5,0.33,40,4,36,2,1.1,0,0,0.38,NULL,20.46,76.78,58,86,-0.326,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,3,0.07,0.053,0.203,0.1,NULL,NULL,NULL,0.034,0.053,0.113,0.089,0.036,NULL,2,0,2,2,4,NULL,0,22,0,0,53,NULL,NULL,0,6.4,NULL,NULL,47,144,NULL,0,0,0,3,18,20,39,12,10,7,23,8,27,33,10,28,51,81,27,24,20,NULL,0,0,0,256,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,227.273
173949,Wild Blueberries (Frozen),Fruits,57,0.16,0,13.85,NULL,4.4,0,0.03,17,0.58,68,7,59,3,1.7,0,0,0.26,NULL,9.45,85.8,NULL,NULL,-1.359,0,NULL,NULL,0,3.33,3.71,0,0,NULL,NULL,NULL,13,3,0.67,NULL,2.87,NULL,NULL,NULL,NULL,0.03,0.007,0.61,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,20,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140,"1 cup, frozen",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,350.877
173950,Blueberries (Frozen),Fruits,51,0.64,0.42,12.17,8.45,2.7,0,0.053,8,0.18,54,5,46,2,2.5,0,0,0.48,NULL,9.47,86.59,112,167,-0.762,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,1,0.07,0.033,0.147,0.1,NULL,NULL,NULL,0.032,0.037,0.52,0.125,0.059,NULL,7,0,7,7,5.1,NULL,0,28,0,0,68,NULL,NULL,0,16.4,NULL,NULL,91,279,NULL,0,0,0,2,12,13,25,8,7,4,15,5,18,22,6,18,33,52,17,15,13,NULL,0,0,0,155,"1 cup, unthawed",567,1 package (20 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,392.157
173951,Blueberries Frozen Sweetened,Fruits,85,0.13,0.4,21.95,19.72,2.2,0,0.011,6,0.39,60,2,49,2,1,0,0,0.52,NULL,19.75,77.4,23,34,-0.942,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,1,0.06,0.039,0.262,0.2,NULL,NULL,NULL,0.02,0.052,0.253,0.125,0.059,NULL,7,0,7,7,5.5,NULL,0,30,0,0,73,NULL,NULL,0,17.7,NULL,NULL,18,57,NULL,0,0,0,2,11,12,23,7,6,4,14,5,17,20,6,17,31,49,16,15,12,NULL,0,0,0,230,"1 cup, thawed",284,1 package (10 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,235.294
173952,Carissa,Fruits,62,1.3,0.5,13.63,NULL,NULL,0,NULL,11,1.31,260,16,40,2,38,0,NULL,NULL,NULL,13.63,84.17,NULL,NULL,-5.546,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,3,NULL,0.21,NULL,NULL,NULL,NULL,NULL,0.04,0.06,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150,1 cup slices,20,1 fruit without skin and seeds,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,322.581
173953,Cherimoya,Fruits,75,0.68,1.57,17.71,12.87,3,0,0.233,10,0.27,287,17,5,0,12.6,0,NULL,0.27,NULL,14.71,79.39,159,28,-4.902,0,NULL,NULL,0.66,5.93,6.28,0,0,0,0,NULL,26,7,0.16,0.069,0.093,NULL,NULL,NULL,NULL,0.101,0.131,0.644,0.345,0.257,NULL,23,0,23,23,NULL,NULL,0,2,0,0,6,NULL,NULL,NULL,NULL,NULL,NULL,55,188,159,0,0,0,31,52,42,63,42,21,10,42,31,63,31,21,63,105,199,52,157,63,NULL,NULL,NULL,NULL,160,"1 cup, pieces",235,1 fruit without skin and seeds,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,266.667
173954,Sour Red Cherries,Fruits,50,0.3,1,12.18,8.49,1.6,0,0.068,16,0.32,173,9,1283,64,10,0,0,0.07,NULL,10.58,86.13,44,46,-3.05,0,NULL,NULL,0.8,4.18,3.51,0,0,0,NULL,NULL,15,3,0.1,0.104,0.112,0,NULL,NULL,NULL,0.03,0.04,0.4,0.143,0.044,NULL,8,0,8,8,6.1,NULL,0,770,0,0,85,NULL,NULL,0,2.1,NULL,NULL,82,90,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,155,"1 cup, without pits",103,"1 cup, with pits, yields",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,400
173955,Cherries Sour Red Canned Water Pack Solids And Liquids (Includes USDA Commodity Red Tart Cherries Canned),Fruits,36,0.1,0.77,8.94,7.6,1.1,0,0.023,11,1.37,98,6,754,38,2.1,0,0,0.23,NULL,7.84,89.93,15,15,-1.621,0,NULL,NULL,1,3.9,2.7,NULL,NULL,NULL,NULL,NULL,10,7,0.07,0.07,0.076,0,NULL,NULL,NULL,0.017,0.041,0.177,0.105,0.044,NULL,8,0,8,8,4.1,NULL,0,452,0,0,57,NULL,NULL,0,1.4,NULL,NULL,27,30,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,244,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,555.556
173956,Cherries Sour Red Canned Light Syrup Pack Solids And Liquids,Fruits,75,0.1,0.74,19.3,NULL,0.8,0,0.022,10,1.32,95,6,726,36,2,0,0,NULL,NULL,18.5,79.62,14,15,-1.56,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,7,0.07,0.068,0.073,NULL,NULL,NULL,NULL,0.016,0.039,0.17,0.105,0.044,NULL,8,0,8,8,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,26,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,252,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,266.667
173957,Cherries Sweet Canned Water Pack Solids And Liquids,Fruits,46,0.13,0.77,11.76,10.26,1.5,0,0.028,11,0.36,131,9,160,8,2.2,0,0,0.23,NULL,10.26,87.05,19,19,-2.212,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,1,0.08,0.075,0.062,0,NULL,NULL,NULL,0.022,0.041,0.41,0.127,0.03,NULL,4,0,4,4,4.1,NULL,0,96,0,0,57,NULL,NULL,0,1.4,NULL,NULL,34,38,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,248,"1 cup, pitted",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,434.783
173958,Cherries Sweet Canned Juice Pack Solids And Liquids,Fruits,54,0.02,0.91,13.81,12.31,1.5,0,0.004,14,0.58,131,12,125,6,2.5,0,0,0.23,NULL,12.31,84.95,3,3,-2.002,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,3,0.1,0.073,0.061,0,NULL,NULL,NULL,0.018,0.024,0.406,0.127,0.03,NULL,4,0,4,4,4.7,NULL,0,75,0,0,57,NULL,NULL,0,1.4,NULL,NULL,5,6,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,250,"1 cup, pitted",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,370.37
173959,Cherries Sweet Canned Light Syrup Pack Solids And Liquids,Fruits,67,0.15,0.61,17.29,15.79,1.5,0,0.034,9,0.36,148,9,157,8,3.7,0,0,0.23,NULL,15.79,81.56,23,23,-2.512,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,3,0.1,0.145,0.06,0,NULL,NULL,NULL,0.021,0.041,0.403,0.127,0.03,NULL,4,0,4,4,4.1,NULL,0,94,0,0,57,NULL,NULL,0,1.4,NULL,NULL,42,46,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,252,"1 cup, pitted",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,298.507
173960,Cherries Sweet Canned Pitted Heavy Syrup Pack Solids And Liquids,Fruits,83,0.15,0.6,21.27,16.18,1.4,0,0.034,9,0.35,145,9,154,8,3.6,0,0,0.17,NULL,19.87,77.61,22,23,-2.453,0,NULL,NULL,2.2,7.93,5.19,0,0.87,0,NULL,NULL,18,3,0.1,0.142,0.048,0,NULL,NULL,NULL,0.021,0.04,0.396,0.057,0.022,NULL,4,0,4,4,4.1,NULL,0,92,0,0,57,NULL,NULL,0,0.9,0,NULL,41,45,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,253,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,240.964
173961,Cranberry Sauce Canned Sweetened,Fruits,159,0.15,0.9,40.4,31.75,1.1,0,0.007,3,0.41,28,2,33,2,1,0,0,0.93,NULL,39.3,58.45,12,19,-0.093,0,NULL,NULL,0.1,17.45,9.75,0,4.45,0,NULL,NULL,4,5,0.03,0.026,0.073,0.4,1.9,NULL,NULL,0.015,0.021,0.1,NULL,0.014,NULL,1,0,1,1,3.8,NULL,0,20,0,0,48,NULL,NULL,0,1.4,NULL,NULL,7,31,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,277,1 cup,57,"1 slice (1/2 inch thick, approx 8 slices per can)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,125.786
173962,Cranberry-Orange Relish Canned,Fruits,178,0.1,0.3,46.2,NULL,0,0,0.012,11,0.2,38,4,70,4,18,0,NULL,NULL,NULL,46.2,53.2,NULL,NULL,-0.607,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,32,NULL,0.04,NULL,NULL,NULL,NULL,NULL,0.03,0.02,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,275,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,112.36
173963,European Black Currants,Fruits,63,0.41,1.4,15.38,NULL,NULL,0,0.034,55,1.54,322,24,230,12,181,0,NULL,1,NULL,15.38,81.96,72,107,-5.271,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,2,0.27,0.086,0.256,NULL,NULL,NULL,NULL,0.05,0.05,0.3,0.398,0.066,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,317.46
173964,Red And White Currants,Fruits,56,0.2,1.4,13.8,7.37,4.3,0,0.017,33,1,275,13,42,2,41,0,0,0.1,NULL,9.5,83.95,35,53,-4.259,0,NULL,NULL,0.61,3.22,3.53,NULL,NULL,NULL,NULL,NULL,44,1,0.23,0.107,0.186,0.6,NULL,NULL,NULL,0.04,0.05,0.1,0.064,0.07,NULL,8,0,8,8,7.6,NULL,0,25,0,0,47,NULL,NULL,0,11,NULL,NULL,28,88,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,112,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,357.143
173965,Beef Australian Imported Grass-Fed Loin Tenderloin Steak/roast Boneless Separable Lean Only Raw,Meats,138,6.11,20.85,0,0,0,49,2.725,4,2.25,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,72.42,104,220,NULL,0.264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2408,386,50,19,35,NULL,239,944,913,1726,1876,608,222,813,739,964,1402,688,1205,1920,3395,929,858,819,105,0,0,0,114,4 oz,150,1 steak,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,144.928
173966,Beef Australian Imported Wagyu Loin Tenderloin Steak/roast Boneless Separable Lean Only Aust. Marble Score 4/5 Raw,Meats,191,12.3,20.19,0,0,0,59,5.507,4,2.24,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,66.47,37,379,NULL,0.464,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,5246,494,19,5,13,NULL,232,914,884,1671,1817,589,215,787,716,934,1358,666,1167,1859,3288,899,831,793,102,0,0,0,114,4 oz,152,1 steak,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,104.712
173967,Beef Australian Imported Wagyu External Fat Aust. Marble Score 9 Raw,Meats,639,68.07,5.54,0.97,0,0,95,22.395,4,0.81,NULL,NULL,74,22,0,NULL,NULL,NULL,NULL,0.97,25.17,130,2175,NULL,2.842,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35821,2448,98,7,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,31.299
173968,Beef Australian Imported Wagyu Seam Fat Aust. Marble Score 9 Raw,Meats,627,67.33,5.16,0,0,0,96,22.467,2,0.91,NULL,NULL,74,22,0,NULL,NULL,NULL,NULL,0,28.13,117,1907,NULL,3.028,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35158,2164,87,7,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,31.898
173969,Beef Australian Imported Grass-Fed Loin Tenderloin Steak/roast Boneless Separable Lean And Fat Raw,Meats,151,7.63,20.53,0.01,0,0,50,3.393,4,2.21,NULL,NULL,4,1,0,NULL,NULL,NULL,NULL,0.01,71.21,55,247,NULL,0.347,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,3046,420,NULL,19,35,NULL,231,912,882,1668,1813,588,214,786,715,932,1355,665,1165,1855,3281,897,829,792,102,0,0,0,114,4 oz,150,1 steak,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,132.45
173970,Beef Australian Imported Grass-Fed Loin Top Loin Steak/roast Boneless Separable Lean Only Raw,Meats,131,4.87,21.79,0,0,0,41,2.09,5,1.57,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,72.95,61,125,NULL,0.164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2067,225,24,12,25,NULL,250,987,954,1804,1961,636,232,850,773,1008,1466,719,1260,2006,3549,971,897,856,110,0,0,0,114,4 oz,339,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,152.672
173971,Beef Australian Imported Grass-Fed Round Bottom Round Steak/roast Boneless Separable Lean Only Raw,Meats,130,4.93,21.4,0,0,0,54,1.959,4,2.11,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,73.31,116,178,NULL,0.179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2129,349,53,25,38,NULL,245,969,937,1771,1925,624,228,834,759,990,1439,706,1237,1970,3485,953,881,841,108,0,0,0,114,4 oz,337,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,153.846
173972,Beef Australian Imported Grass-Fed Round Top Round Cap-Off Steak/roast Boneless Separable Lean Only Raw,Meats,129,4.43,22.41,0,0,0,48,1.783,5,2.3,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,73.05,83,158,NULL,0.141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,1860,293,33,18,32,NULL,257,1015,981,1855,2016,653,238,873,795,1036,1507,739,1295,2063,3649,998,922,880,113,0,0,0,114,4 oz,763,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,155.039
173973,Beef Australian Imported Wagyu Loin Tenderloin Steak/roast Boneless Separable Lean Only Aust. Marble Score 9 Raw,Meats,237,17.73,18.87,0.57,0,0,74,7.377,4,2.41,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.57,61.91,37,580,NULL,0.645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,8170,698,23,5,9,NULL,216,854,826,1562,1698,550,201,736,669,873,1269,622,1091,1737,3073,840,777,741,95,0,0,0,114,4 oz,173,1 steak,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,84.388
173974,Beef Australian Imported Wagyu Loin Top Loin Steak/roast Boneless Separable Lean Only Aust. Marble Score 4/5 Raw,Meats,223,15.69,20.15,0.2,0,0,58,5.909,4,1.85,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0.2,63.07,23,367,NULL,0.524,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,8022,441,11,5,7,NULL,231,912,882,1668,1813,588,214,785,715,932,1355,665,1165,1855,3281,897,829,792,102,0,0,0,114,4 oz,348,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,89.686
173975,Beef Australian Imported Grass-Fed Rib Ribeye Steak/roast Lip-On Boneless Separable Lean And Fat Raw,Meats,217,15.21,19.8,0.11,0,0,52,6.782,5,1.74,NULL,NULL,18,5,0,NULL,NULL,NULL,NULL,0.11,64.6,40,315,NULL,0.7,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,6344,467,NULL,11,26,NULL,209,825,798,1508,1640,532,194,710,646,843,1226,601,1053,1678,2968,812,750,716,92,0,0,0,114,4 oz,350,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,92.166
173976,Beef Australian Imported Grass-Fed Round Bottom Round Steak/roast Boneless Separable Lean And Fat Raw,Meats,140,6.16,21.13,0.01,0,0,55,2.51,5,2.08,NULL,NULL,3,1,0,NULL,NULL,NULL,NULL,0.01,72.33,64,200,NULL,0.248,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2634,377,NULL,25,38,NULL,239,944,913,1725,1876,608,222,813,739,964,1402,688,1205,1919,3395,928,858,819,105,0,0,0,114,4 oz,337,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,142.857
